Left_X,Left_Y,Right_X,Right_Y,Norm_X,Norm_Y,Gaze_Direction
239,296,314,296,0.3142857142857143,0.5,CENTER
239,296,314,296,0.29411764705882354,0.5,LEFT
241,291,316,292,0.2727272727272727,0.53125,LEFT
240,291,314,291,0.2857142857142857,0.5294117647058824,LEFT
243,291,317,292,0.3235294117647059,0.5666666666666667,CENTER
239,289,312,289,0.2647058823529412,0.5,LEFT
239,290,312,290,0.29411764705882354,0.5333333333333333,LEFT
240,290,313,291,0.3235294117647059,0.5666666666666667,CENTER
241,294,315,296,0.2727272727272727,0.5625,LEFT
242,293,315,295,0.30303030303030304,0.5625,CENTER
242,292,315,295,0.30303030303030304,0.5666666666666667,CENTER
222,290,296,290,0.2857142857142857,0.5333333333333333,LEFT
222,290,296,290,0.2647058823529412,0.5333333333333333,LEFT
224,290,297,291,0.29411764705882354,0.53125,LEFT
224,290,297,291,0.29411764705882354,0.53125,LEFT
224,291,297,292,0.29411764705882354,0.5666666666666667,LEFT
224,291,297,293,0.29411764705882354,0.5625,LEFT
224,291,297,293,0.29411764705882354,0.5625,LEFT
224,291,297,293,0.29411764705882354,0.5625,LEFT
223,292,297,294,0.2647058823529412,0.6,LEFT
223,292,297,294,0.2647058823529412,0.6,LEFT
231,277,303,279,0.75,0.6428571428571429,RIGHT
230,277,302,280,0.71875,0.6333333333333333,RIGHT
230,278,302,280,0.6875,0.6428571428571429,CENTER
241,292,316,293,0.45714285714285713,0.53125,CENTER
243,293,318,295,0.4857142857142857,0.5625,CENTER
244,294,318,296,0.4857142857142857,0.625,CENTER
244,294,318,296,0.4857142857142857,0.5625,CENTER
244,295,319,296,0.4857142857142857,0.59375,CENTER
243,295,318,297,0.4857142857142857,0.5625,CENTER
243,296,318,297,0.4857142857142857,0.5666666666666667,CENTER
244,296,318,298,0.5142857142857142,0.5625,CENTER
242,297,317,298,0.4722222222222222,0.59375,CENTER
243,297,317,299,0.4857142857142857,0.6,CENTER
242,298,317,299,0.4857142857142857,0.59375,CENTER
176,274,226,268,0.5714285714285714,0.1111111111111111,TOP
175,274,227,269,0.5384615384615384,0.25,TOP
175,275,227,270,0.5384615384615384,0.25,TOP
175,275,227,271,0.5384615384615384,0.3,CENTER
176,275,228,271,0.5384615384615384,0.3,CENTER
171,282,222,272,0.5384615384615384,0,TOP
170,282,222,274,0.5,0,TOP
169,283,222,274,0.46153846153846156,0.05,TOP
170,282,222,275,0.5,0.13636363636363635,TOP
170,282,222,275,0.5,0.13636363636363635,TOP
170,282,222,276,0.5,0.18181818181818182,TOP
170,282,222,276,0.5,0.18181818181818182,TOP
171,282,222,276,0.5,0.18181818181818182,TOP
171,282,222,276,0.5,0.18181818181818182,TOP
172,282,222,276,0.5714285714285714,0.18181818181818182,TOP
172,282,222,277,0.5333333333333333,0.22727272727272727,TOP
172,283,222,278,0.5333333333333333,0.3181818181818182,CENTER
282,268,353,283,0.4166666666666667,0.9666666666666667,BOTTOM
283,268,354,281,0.43243243243243246,0.9666666666666667,BOTTOM
283,268,354,279,0.4166666666666667,0.9,BOTTOM
283,268,354,279,0.40540540540540543,0.8928571428571429,BOTTOM
283,268,354,279,0.40540540540540543,0.8928571428571429,BOTTOM
283,268,353,279,0.43243243243243246,0.8928571428571429,BOTTOM
282,268,353,279,0.4166666666666667,0.8928571428571429,BOTTOM
282,268,352,278,0.43243243243243246,0.8571428571428571,BOTTOM
281,268,353,278,0.40540540540540543,0.8571428571428571,BOTTOM
282,268,353,279,0.40540540540540543,0.8928571428571429,BOTTOM
282,268,353,279,0.40540540540540543,0.8928571428571429,BOTTOM
283,268,354,279,0.43243243243243246,0.8928571428571429,BOTTOM
285,269,355,279,0.4444444444444444,0.8666666666666667,BOTTOM
285,269,355,279,0.4444444444444444,0.8571428571428571,BOTTOM
286,269,355,279,0.4722222222222222,0.8571428571428571,BOTTOM
256,276,326,279,0.3,0.6944444444444444,CENTER
253,278,327,280,0.29411764705882354,0.6470588235294118,LEFT
252,278,326,280,0.2727272727272727,0.6875,LEFT
251,277,326,280,0.2647058823529412,0.65625,LEFT
257,279,330,283,0.4166666666666667,0.6666666666666666,CENTER
257,279,329,283,0.4166666666666667,0.6666666666666666,CENTER
257,279,329,283,0.3888888888888889,0.6666666666666666,CENTER
259,279,331,283,0.4444444444444444,0.6666666666666666,CENTER
259,280,332,284,0.42857142857142855,0.6666666666666666,CENTER
257,280,331,284,0.37142857142857144,0.7333333333333333,BOTTOM
254,279,331,284,0.2857142857142857,0.7,LEFT
254,279,330,284,0.29411764705882354,0.7,LEFT
259,288,332,292,0.4444444444444444,0.6875,CENTER
259,288,332,292,0.3783783783783784,0.6875,CENTER
259,288,332,292,0.3783783783783784,0.6875,CENTER
